"Selection","Line","Vial","Pupal.count","Dams.Count","Dam.Productivity","w"
"ML","1","1",62,4,15.5,-0.155036842642693
"ML","1","2",21,3,7,-1.16827944204147
"ML","1","3",53,4,13.25,-0.423248118954134
"ML","2","1",79,4,19.75,0.351584457056695
"ML","2","2",94,4,23.5,0.798603250909097
"ML","2","3",113,4,28.25,1.36482705645547
"ML","2","4",109,4,27.25,1.2456220447615
"ML","3","1",51,4,12.75,-0.482850624801121
"ML","3","2",77,4,19.25,0.291981951209709
"ML","3","3",46,3,15.3333333333333,-0.174904344591689
"ML","4","1",34,4,8.5,-0.98947192450051
"ML","4","2",45,3,15,-0.21463934848968
"ML","4","3",70,4,17.5,0.0833731807452544
"ML","4","4",76,4,19,0.262180698286215
"ML","5","1",63,4,15.75,-0.1252355897192
"ML","5","2",85,4,21.25,0.530391974597656
"ML","5","3",37,4,9.25,-0.900068165730029
"ML","5","4",51,4,12.75,-0.482850624801121
"ML","5","5",84,4,21,0.500590721674163
"ML","6","1",40,3,13.3333333333333,-0.413314367979636
"ML","6","2",94,4,23.5,0.798603250909097
"ML","6","3",93,3,31,1.6926408386139
"ML","6","4",42,3,14,-0.333844360183654
"ML","6","5",43,3,14.3333333333333,-0.294109356285663
"ML","7","1",106,4,26.5,1.15621828599102
"ML","7","2",110,4,27.5,1.27542329768499
"ML","7","3",100,4,25,0.977410768450058
"ML","8","1",72,4,18,0.142975686592241
"ML","8","2",79,4,19.75,0.351584457056695
"ML","8","3",112,4,28,1.33502580353198
"ML","9","1",131,4,32.75,1.90124960907835
"ML","9","2",104,4,26,1.09661578014403
"ML","9","3",93,4,23.25,0.768801997985604
"ML","9","4",24,4,6,-1.28748445373544
"ML","10","1",86,4,21.5,0.56019322752115
"ML","10","2",120,4,30,1.57343582691993
"ML","10","3",118,4,29.5,1.51383332107294
"ML","10","4",37,4,9.25,-0.900068165730029
"ML","10","5",88,4,22,0.619795733368137
"ML","11","1",44,4,11,-0.691459395265575
"ML","11","2",74,4,18.5,0.202578192439228
"ML","11","3",62,5,12.4,-0.524572378894012
"ML","11","4",92,4,23,0.73900074506211
"ML","12","1",80,4,20,0.381385709980189
"ML","12","2",42,4,10.5,-0.751061901112562
"ML","12","3",43,4,10.75,-0.721260648189069
"ML","12","4",52,4,13,-0.453049371877628
"ML","12","5",54,4,13.5,-0.393446866030641
"ML","13","1",27,3,9,-0.929869418653523
"ML","13","2",86,4,21.5,0.56019322752115
"ML","14","1",110,4,27.5,1.27542329768499
"ML","14","2",61,4,15.25,-0.184838095566187
"ML","14","3",85,4,21.25,0.530391974597656
"ML","14","4",95,4,23.75,0.828404503832591
"ML","15","1",23,4,5.75,-1.31728570665894
"ML","15","2",55,4,13.75,-0.363645613107147
"ML","15","3",72,4,18,0.142975686592241
"ML","15","4",49,3,16.3333333333333,-0.0556993328977151
"ML","15","5",61,4,15.25,-0.184838095566187
"ML","16","1",46,4,11.5,-0.631856889418588
"ML","16","2",90,4,22.5,0.679398239215123
"ML","16","3",10,4,2.5,-1.70470199466435
"ML","16","4",77,4,19.25,0.291981951209709
"ML","16","5",33,4,8.25,-1.019273177424
"ML","17","1",72,4,18,0.142975686592241
"ML","17","2",26,4,6.5,-1.22788194788846
"ML","17","3",27,4,6.75,-1.19808069496496
"ML","17","4",24,4,6,-1.28748445373544
"ML","17","5",24,4,6,-1.28748445373544
"ML","18","1",136,4,34,2.05025587369582
"ML","18","2",100,4,25,0.977410768450058
"ML","18","3",128,4,32,1.81184585030787
"ML","18","4",80,4,20,0.381385709980189
"ML","19","1",32,4,8,-1.0490744303475
"ML","19","2",44,4,11,-0.691459395265575
"ML","19","3",45,4,11.25,-0.661658142342082
"ML","19","4",68,4,17,0.0237706748982675
"ML","19","5",53,4,13.25,-0.423248118954134
"ML","20","1",102,4,25.5,1.03701327429704
"ML","20","2",81,4,20.25,0.411186962903682
"ML","20","3",79,4,19.75,0.351584457056695
"ML","21","1",91,4,22.75,0.709199492138617
"ML","21","2",71,4,17.75,0.113174433668748
"ML","21","3",45,3,15,-0.21463934848968
"ML","21","4",58,4,14.5,-0.274241854336667
"ML","21","5",80,4,20,0.381385709980189
"ML","22","1",90,4,22.5,0.679398239215123
"ML","22","2",55,4,13.75,-0.363645613107147
"ML","22","3",74,4,18.5,0.202578192439228
"ML","22","4",144,4,36,2.28866589708377
"ML","23","1",54,4,13.5,-0.393446866030641
"ML","23","2",36,4,9,-0.929869418653523
"ML","23","3",77,5,15.4,-0.16695734381209
"ML","23","4",93,4,23.25,0.768801997985604
"ML","23","5",63,4,15.75,-0.1252355897192
"ML","24","1",1,4,0.25,-1.97291327097579
"ML","24","2",8,4,2,-1.76430450051134
"ML","24","3",6,4,1.5,-1.82390700635833
"ML","24","4",2,3,0.666666666666667,-1.9232445161033
"ML","24","5",0,4,0,-2.00271452389929
"ML","25","1",41,4,10.25,-0.780863154036056
"ML","25","2",36,5,7.2,-1.14443843970268
"ML","25","3",75,4,18.75,0.232379445362722
"ML","25","4",65,4,16.25,-0.0656330838722128
"ML","25","5",7,4,1.75,-1.79410575343483
"ML","26","1",129,4,32.25,1.84164710323137
"ML","26","2",147,4,36.75,2.37806965585425
"ML","26","3",149,4,37.25,2.43767216170124
"ML","26","4",97,4,24.25,0.888007009679578
"ML","26","5",63,3,21,0.500590721674163
"ML","27","1",80,4,20,0.381385709980189
"ML","27","2",21,4,5.25,-1.37688821250592
"ML","27","3",16,4,4,-1.52589447712339
"ML","27","4",84,4,21,0.500590721674163
"ML","27","5",29,4,7.25,-1.13847818911798
"ML","28","1",86,4,21.5,0.56019322752115
"ML","28","2",82,4,20.5,0.440988215827176
"ML","28","3",68,4,17,0.0237706748982675
"ML","28","4",42,4,10.5,-0.751061901112562
"ML","29","1",120,4,30,1.57343582691993
"ML","29","2",101,4,25.25,1.00721202137355
"ML","29","3",68,4,17,0.0237706748982675
"ML","29","4",78,4,19.5,0.321783204133202
"ML","29","5",71,4,17.75,0.113174433668748
"ML","30","1",29,4,7.25,-1.13847818911798
"ML","30","2",74,4,18.5,0.202578192439228
"ML","30","3",98,4,24.5,0.917808262603071
"ML","30","4",112,4,28,1.33502580353198
"ML","30","5",94,4,23.5,0.798603250909097
"ML","31","1",1,4,0.25,-1.97291327097579
"ML","31","2",5,4,1.25,-1.85370825928182
"ML","31","3",10,4,2.5,-1.70470199466435
"ML","31","4",26,4,6.5,-1.22788194788846
"ML","31","5",10,4,2.5,-1.70470199466435
"ML","32","1",84,4,21,0.500590721674163
"ML","32","2",157,4,39.25,2.67608218508918
"ML","32","3",69,4,17.25,0.053571927821761
"ML","32","4",70,4,17.5,0.0833731807452544
"ML","32","5",117,4,29.25,1.48403206814945
"ML","33","1",68,4,17,0.0237706748982675
"ML","33","2",80,4,20,0.381385709980189
"ML","33","3",143,4,35.75,2.25886464416028
"ML","33","4",73,4,18.25,0.172776939515735
"ML","33","5",99,4,24.75,0.947609515526564
"ML","34","1",32,3,10.6666666666667,-0.731194399163567
"ML","34","2",96,4,24,0.858205756756084
"ML","34","3",104,4,26,1.09661578014403
"ML","34","4",91,4,22.75,0.709199492138617
"ML","34","5",119,4,29.75,1.54363457399643
"ML","35","1",50,4,12.5,-0.512651877724615
"ML","35","2",37,4,9.25,-0.900068165730029
"ML","35","3",51,4,12.75,-0.482850624801121
"ML","35","4",38,4,9.5,-0.870266912806536
"ML","36","1",48,4,12,-0.572254383571601
"ML","36","2",71,4,17.75,0.113174433668748
"ML","36","3",39,4,9.75,-0.840465659883042
"ML","36","4",75,4,18.75,0.232379445362722
"ML","36","5",109,4,27.25,1.2456220447615
"ML","37","1",95,4,23.75,0.828404503832591
"ML","37","2",99,4,24.75,0.947609515526564
"ML","37","3",40,3,13.3333333333333,-0.413314367979636
"ML","37","4",115,4,28.75,1.42442956230246
"ML","37","5",92,4,23,0.73900074506211
"ML","38","1",66,4,16.5,-0.0358318309487194
"ML","38","2",96,4,24,0.858205756756084
"ML","38","3",57,3,19,0.262180698286215
"ML","38","4",100,4,25,0.977410768450058
"ML","38","5",46,3,15.3333333333333,-0.174904344591689
"MC","1","1",121,4,30.25,1.60323707984342
"MC","1","2",69,4,17.25,0.053571927821761
"MC","1","3",95,4,23.75,0.828404503832591
"MC","1","4",62,4,15.5,-0.155036842642693
"MC","1","5",37,4,9.25,-0.900068165730029
"MC","2","1",96,4,24,0.858205756756084
"MC","2","2",102,4,25.5,1.03701327429704
"MC","2","3",99,4,24.75,0.947609515526564
"MC","2","4",43,4,10.75,-0.721260648189069
"MC","3","1",66,4,16.5,-0.0358318309487194
"MC","3","2",82,4,20.5,0.440988215827176
"MC","4","1",90,4,22.5,0.679398239215123
"MC","4","2",56,4,14,-0.333844360183654
"MC","4","3",57,4,14.25,-0.30404310726016
"MC","4","4",110,4,27.5,1.27542329768499
"MC","4","5",35,4,8.75,-0.959670671577016
"MC","5","1",0,4,0,-2.00271452389929
"MC","5","2",3,4,0.75,-1.91331076512881
"MC","5","3",0,4,0,-2.00271452389929
"MC","5","4",28,4,7,-1.16827944204147
"MC","5","5",34,4,8.5,-0.98947192450051
"MC","6","1",0,4,0,-2.00271452389929
"MC","6","2",2,3,0.666666666666667,-1.9232445161033
"MC","6","3",0,4,0,-2.00271452389929
"MC","6","4",0,3,0,-2.00271452389929
"MC","6","5",1,3,0.333333333333333,-1.9629795200013
"MC","7","1",83,4,20.75,0.470789468750669
"MC","7","2",68,4,17,0.0237706748982675
"MC","7","3",73,4,18.25,0.172776939515735
"MC","7","4",77,4,19.25,0.291981951209709
"MC","7","5",53,4,13.25,-0.423248118954134
"MC","8","1",84,4,21,0.500590721674163
"MC","8","2",117,4,29.25,1.48403206814945
"MC","8","3",90,4,22.5,0.679398239215123
"MC","8","4",89,4,22.25,0.64959698629163
"MC","8","5",114,4,28.5,1.39462830937897
"MC","9","1",25,3,8.33333333333333,-1.00933942644951
"MC","9","2",44,4,11,-0.691459395265575
"MC","10","1",115,4,28.75,1.42442956230246
"MC","10","2",71,4,17.75,0.113174433668748
"MC","10","3",90,4,22.5,0.679398239215123
"MC","10","4",114,4,28.5,1.39462830937897
"MC","10","5",72,4,18,0.142975686592241
"MC","11","1",37,3,12.3333333333333,-0.53251937967361
"MC","11","2",68,4,17,0.0237706748982675
"MC","11","3",32,3,10.6666666666667,-0.731194399163567
"MC","11","4",29,3,9.66666666666667,-0.85039941085754
"MC","11","5",42,4,10.5,-0.751061901112562
"MC","12","1",121,4,30.25,1.60323707984342
"MC","12","2",19,4,4.75,-1.43649071835291
"MC","13","1",89,4,22.25,0.64959698629163
"MC","13","2",93,4,23.25,0.768801997985604
"MC","13","3",66,4,16.5,-0.0358318309487194
"MC","13","4",78,4,19.5,0.321783204133202
"MC","13","5",80,4,20,0.381385709980189
"MC","14","1",46,4,11.5,-0.631856889418588
"MC","14","2",41,4,10.25,-0.780863154036056
"MC","14","3",109,4,27.25,1.2456220447615
"MC","14","4",132,4,33,1.93105086200185
"MC","14","5",53,4,13.25,-0.423248118954134
"MC","15","1",82,4,20.5,0.440988215827176
"MC","15","2",8,4,2,-1.76430450051134
"MC","15","3",12,4,3,-1.64509948881737
"MC","16","1",43,4,10.75,-0.721260648189069
"MC","16","2",90,4,22.5,0.679398239215123
"MC","16","3",131,4,32.75,1.90124960907835
"MC","17","1",102,4,25.5,1.03701327429704
"MC","17","2",44,4,11,-0.691459395265575
"MC","17","3",73,4,18.25,0.172776939515735
"MC","17","4",128,4,32,1.81184585030787
"MC","17","5",81,4,20.25,0.411186962903682
"MC","18","1",76,4,19,0.262180698286215
"MC","18","2",44,4,11,-0.691459395265575
"MC","18","3",80,4,20,0.381385709980189
"MC","18","4",47,4,11.75,-0.602055636495095
"MC","19","1",51,4,12.75,-0.482850624801121
"MC","19","2",41,4,10.25,-0.780863154036056
"MC","19","3",26,4,6.5,-1.22788194788846
"MC","19","4",49,4,12.25,-0.542453130648108
"MC","19","5",30,3,10,-0.810664406959549
"MC","20","1",13,4,3.25,-1.61529823589387
"MC","20","2",60,4,15,-0.21463934848968
"MC","20","3",63,4,15.75,-0.1252355897192
"MC","20","4",25,4,6.25,-1.25768320081195
"MC","20","5",25,4,6.25,-1.25768320081195
"MC","21","1",28,4,7,-1.16827944204147
"MC","21","2",58,4,14.5,-0.274241854336667
"MC","21","3",22,4,5.5,-1.34708695958243
"MC","21","4",19,4,4.75,-1.43649071835291
"MC","21","5",25,4,6.25,-1.25768320081195
"MC","22","1",95,4,23.75,0.828404503832591
"MC","22","2",97,4,24.25,0.888007009679578
"MC","22","3",87,5,17.4,0.0714526795758569
"MC","22","4",87,4,21.75,0.589994480444643
"MC","22","5",52,4,13,-0.453049371877628
"MC","23","1",76,4,19,0.262180698286215
"MC","23","2",118,4,29.5,1.51383332107294
"MC","23","3",38,4,9.5,-0.870266912806536
"MC","23","4",70,4,17.5,0.0833731807452544
"MC","23","5",90,4,22.5,0.679398239215123
"MC","24","1",73,4,18.25,0.172776939515735
"MC","24","2",55,4,13.75,-0.363645613107147
"MC","24","3",17,4,4.25,-1.4960932241999
"MC","24","4",8,4,2,-1.76430450051134
"MC","24","5",30,4,7.5,-1.10867693619448
"MC","25","1",135,4,33.75,2.02045462077233
"MC","25","2",31,4,7.75,-1.07887568327099
"MC","25","3",38,4,9.5,-0.870266912806536
"MC","25","4",76,4,19,0.262180698286215
"MC","25","5",93,4,23.25,0.768801997985604
"MC","26","1",36,4,9,-0.929869418653523
"MC","26","2",28,3,9.33333333333333,-0.890134414755531
"MC","26","3",24,4,6,-1.28748445373544
"MC","26","4",24,3,8,-1.0490744303475
"MC","26","5",23,4,5.75,-1.31728570665894
"MC","27","1",70,4,17.5,0.0833731807452544
"MC","27","2",58,4,14.5,-0.274241854336667
"MC","27","3",22,4,5.5,-1.34708695958243
"MC","27","4",19,4,4.75,-1.43649071835291
"MC","27","5",25,4,6.25,-1.25768320081195
"MC","28","1",145,4,36.25,2.31846715000726
"MC","28","2",119,4,29.75,1.54363457399643
"MC","28","3",82,4,20.5,0.440988215827176
"MC","28","4",77,4,19.25,0.291981951209709
"MC","28","5",38,4,9.5,-0.870266912806536
"MC","29","1",75,4,18.75,0.232379445362722
"MC","29","2",45,3,15,-0.21463934848968
"MC","29","3",61,4,15.25,-0.184838095566187
"MC","30","1",97,4,24.25,0.888007009679578
"MC","30","2",52,4,13,-0.453049371877628
"MC","30","3",45,4,11.25,-0.661658142342082
"MC","30","4",60,4,15,-0.21463934848968
"MC","30","5",37,4,9.25,-0.900068165730029
"MC","31","1",90,4,22.5,0.679398239215123
"MC","31","2",66,4,16.5,-0.0358318309487194
"MC","31","3",105,4,26.25,1.12641703306753
"MC","31","4",76,4,19,0.262180698286215
"MC","31","5",106,4,26.5,1.15621828599102
"MC","32","1",131,4,32.75,1.90124960907835
"MC","32","2",82,4,20.5,0.440988215827176
"MC","32","3",80,4,20,0.381385709980189
"MC","32","4",77,4,19.25,0.291981951209709
"MC","32","5",79,4,19.75,0.351584457056695
"MC","33","1",74,4,18.5,0.202578192439228
"MC","33","2",79,4,19.75,0.351584457056695
"MC","33","3",90,4,22.5,0.679398239215123
"MC","33","4",82,4,20.5,0.440988215827176
"MC","34","1",74,4,18.5,0.202578192439228
"MC","34","2",115,4,28.75,1.42442956230246
"MC","34","3",20,4,5,-1.40668946542942
"MC","34","4",80,4,20,0.381385709980189
"MC","34","5",54,4,13.5,-0.393446866030641
"MC","35","1",69,4,17.25,0.053571927821761
"MC","35","2",61,4,15.25,-0.184838095566187
"MC","35","3",52,4,13,-0.453049371877628
"MC","35","4",37,4,9.25,-0.900068165730029
"MC","35","5",67,4,16.75,-0.00603057802522593
"MC","36","1",73,4,18.25,0.172776939515735
"MC","36","2",62,4,15.5,-0.155036842642693
"MC","36","3",100,4,25,0.977410768450058
"MC","36","4",56,4,14,-0.333844360183654
"MC","36","5",71,4,17.75,0.113174433668748
"MC","37","1",88,4,22,0.619795733368137
"MC","37","2",37,4,9.25,-0.900068165730029
"MC","37","3",87,4,21.75,0.589994480444643
"MC","37","4",46,3,15.3333333333333,-0.174904344591689
"MC","38","1",83,4,20.75,0.470789468750669
"MC","38","2",106,4,26.5,1.15621828599102
"MC","38","3",97,4,24.25,0.888007009679578
"MC","38","4",73,4,18.25,0.172776939515735
"MC","38","5",99,4,24.75,0.947609515526564
