Treatment;Population;ID;sex_role;Stand_Fitness
Male;M1;M1D1;female;-0,6668
Male;M1;M1C1;female;-1,3703
Male;M1;M1B1;female;0,5643
Male;M1;M1A1;female;-0,4909
Male;M1;M1D2;female;-1,1944
Male;M1;M1C2;female;-0,1392
Male;M1;M1B2;female;0,9161
Male;M1;M1A2;female;0,5643
Male;M1;M1D3;female;-1,0185
Male;M1;M1C3;female;0,9161
Male;M1;M1B3;female;1,2678
Male;M1;M1A3;female;1,6196
Male;M1;M1D4;female;-0,8427
Male;M1;M1B4;female;-0,6668
Male;M1;M1D5;female;-0,1392
Male;M1;M1C5;female;-0,1392
Male;M1;M1B5;female;1,092
Male;M1;M1A5;female;-1,3703
Male;M1;M1D6;female;0,3885
Male;M1;M1C6;female;0,0367
Male;M1;M1B6;female;1,9713
Male;M1;M1A6;female;1,6196
Male;M2;M2D1;female;-1,0185
Male;M2;M2C1;female;0,0367
Male;M2;M2B1;female;0,3885
Male;M2;M2A1;female;0,2126
Male;M2;M2D2;female;0,9161
Male;M2;M2C2;female;-0,315
Male;M2;M2B2;female;0,9161
Male;M2;M2A2;female;-0,4909
Male;M2;M2D3;female;-1,1944
Male;M2;M2C3;female;0,0367
Male;M2;M2B3;female;1,4437
Male;M2;M2A3;female;0,7402
Male;M2;M2D4;female;-1,5462
Male;M2;M2C4;female;0,9161
Male;M2;M2B4;female;-1,5462
Male;M2;M2A4;female;0,9161
Male;M2;M2C5;female;-1,5462
Male;M2;M2B5;female;0,0367
Male;M2;M2A5;female;0,2126
Male;M2;M2D6;female;-0,1392
Male;M2;M2C6;female;0,7402
Male;M2;M2B6;female;0,7402
Male;M2;M2A6;female;0,3885
Male;M3;M3D1;female;-0,1392
Male;M3;M3C1;female;1,6196
Male;M3;M3B1;female;-1,3703
Male;M3;M3A1;female;1,2678
Male;M3;M3D2;female;0,0367
Male;M3;M3C2;female;-1,5462
Male;M3;M3B2;female;1,2678
Male;M3;M3A2;female;-0,315
Male;M3;M3D3;female;-0,315
Male;M3;M3C3;female;0,7402
Male;M3;M3B3;female;0,5643
Male;M3;M3A3;female;-0,4909
Male;M3;M3D4;female;1,4437
Male;M3;M3C4;female;0,0367
Male;M3;M3B4;female;1,2678
Male;M3;M3A4;female;-0,1392
Male;M3;M3D5;female;1,092
Male;M3;M3C5;female;0,0367
Male;M3;M3B5;female;-1,5462
Male;M3;M3A5;female;1,2678
Male;M3;M3D6;female;1,4437
Male;M3;M3C6;female;0,0367
Male;M3;M3B6;female;-1,0185
Male;M3;M3A6;female;-1,5462
Male;M4;M4D1;female;-0,6668
Male;M4;M4C1;female;1,2678
Male;M4;M4B1;female;1,092
Male;M4;M4A1;female;-0,1392
Male;M4;M4D2;female;0,7402
Male;M4;M4C2;female;0,3885
Male;M4;M4B2;female;1,6196
Male;M4;M4A2;female;0,7402
Male;M4;M4D3;female;-1,3703
Male;M4;M4C3;female;2,1472
Male;M4;M4B3;female;0,5643
Male;M4;M4A3;female;-1,5462
Male;M4;M4D4;female;-1,5462
Male;M4;M4C4;female;1,2678
Male;M4;M4B4;female;-1,0185
Male;M4;M4A4;female;-1,0185
Male;M4;M4D5;female;-1,3703
Male;M4;M4C5;female;0,9161
Male;M4;M4A5;female;0,3885
Male;M4;M4D6;female;1,092
Male;M4;M4C6;female;-1,5462
Male;M4;M4B6;female;-1,5462
Female;F1;F1B1;female;0,9161
Female;F1;F1D2;female;-1,1944
Female;F1;F1B2;female;-1,1944
Female;F1;F1A2;female;0,2126
Female;F1;F1D3;female;0,3885
Female;F1;F1C3;female;-0,8427
Female;F1;F1B3;female;0,2126
Female;F1;F1A3;female;-1,5462
Female;F1;F1C4;female;-0,4909
Female;F1;F1B4;female;-0,8427
Female;F1;F1A4;female;-0,8427
Female;F1;F1D5;female;-1,1944
Female;F1;F1C5;female;1,4437
Female;F1;F1B5;female;1,092
Female;F1;F1A5;female;0,7402
Female;F1;F1D6;female;-0,8427
Female;F1;F1C6;female;0,3885
Female;F1;F1B6;female;0,2126
Female;F1;F1A6;female;1,092
Female;F2;F2D1;female;-0,6668
Female;F2;F2C1;female;-0,4909
Female;F2;F2B1;female;-0,1392
Female;F2;F2A1;female;-1,5462
Female;F2;F2D2;female;1,7955
Female;F2;F2C2;female;1,6196
Female;F2;F2B2;female;0,5643
Female;F2;F2A2;female;1,092
Female;F2;F2D3;female;0,3885
Female;F2;F2C3;female;2,499
Female;F2;F2B3;female;0,7402
Female;F2;F2A3;female;-1,1944
Female;F2;F2D4;female;0,0367
Female;F2;F2C4;female;0,0367
Female;F2;F2B4;female;0,0367
Female;F2;F2A4;female;0,7402
Female;F2;F2D5;female;-1,0185
Female;F2;F2C5;female;-0,1392
Female;F2;F2B5;female;0,3885
Female;F2;F2A5;female;2,499
Female;F2;F2D6;female;-1,1944
Female;F2;F2C6;female;-1,5462
Female;F2;F2B6;female;1,4437
Female;F3;F3D1;female;0,7402
Female;F3;F3C1;female;-1,3703
Female;F3;F3B1;female;1,7955
Female;F3;F3A1;female;0,2126
Female;F3;F3D2;female;2,499
Female;F3;F3C2;female;0,9161
Female;F3;F3B2;female;0,2126
Female;F3;F3A2;female;1,092
Female;F3;F3D3;female;0,5643
Female;F3;F3C3;female;2,1472
Female;F3;F3B3;female;-0,1392
Female;F3;F3A3;female;-0,1392
Female;F3;F3D4;female;0,3885
Female;F3;F3C4;female;0,9161
Female;F3;F3B4;female;1,6196
Female;F3;F3A4;female;0,2126
Female;F3;F3D5;female;2,6748
Female;F3;F3C5;female;1,2678
Female;F3;F3B5;female;-0,1392
Female;F3;F3A5;female;-1,0185
Female;F3;F3D6;female;-0,1392
Female;F3;F3B6;female;0,2126
Female;F3;F3A6;female;0,0367
Female;F4;F4C1;female;0,3885
Female;F4;F4B1;female;1,4437
Female;F4;F4A1;female;1,092
Female;F4;F4D2;female;0,9161
Female;F4;F4B2;female;1,2678
Female;F4;F4A2;female;-1,5462
Female;F4;F4D3;female;0,5643
Female;F4;F4C3;female;-0,1392
Female;F4;F4B3;female;0,2126
Female;F4;F4A3;female;-0,315
Female;F4;F4D4;female;2,3231
Female;F4;F4C4;female;-1,5462
Female;F4;F4B4;female;0,0367
Female;F4;F4A4;female;0,9161
Female;F4;F4D5;female;0,3885
Female;F4;F4B5;female;1,2678
Female;F4;F4D6;female;-0,1392
Female;F4;F4C6;female;-0,8427
Female;F4;F4B6;female;1,4437
Female;F4;F4A6;female;2,1472
Control;C1;C1D1;female;-0,8427
Control;C1;C1C1;female;-1,1944
Control;C1;C1B1;female;-0,8427
Control;C1;C1A1;female;-0,6668
Control;C1;C1C2;female;0,2126
Control;C1;C1B2;female;-0,6668
Control;C1;C1D3;female;-1,3703
Control;C1;C1C3;female;-0,8427
Control;C1;C1B3;female;0,0367
Control;C1;C1A3;female;-0,6668
Control;C1;C1D4;female;0,2126
Control;C1;C1B4;female;-0,315
Control;C1;C1A4;female;0,3885
Control;C1;C1D5;female;0,2126
Control;C1;C1C5;female;0,5643
Control;C1;C1B5;female;2,3231
Control;C1;C1A5;female;-1,1944
Control;C1;C1D6;female;0,3885
Control;C1;C1C6;female;0,0367
Control;C1;C1B6;female;1,2678
Control;C1;C1A6;female;-1,3703
Control;C2;C2D1;female;1,092
Control;C2;C2C1;female;-0,6668
Control;C2;C2B1;female;-0,6668
Control;C2;C2A1;female;1,6196
Control;C2;C2D2;female;0,3885
Control;C2;C2C2;female;-1,5462
Control;C2;C2B2;female;0,5643
Control;C2;C2A2;female;-0,315
Control;C2;C2D3;female;-0,315
Control;C2;C2C3;female;1,4437
Control;C2;C2B3;female;0,0367
Control;C2;C2A3;female;-0,4909
Control;C2;C2D4;female;-0,1392
Control;C2;C2C4;female;0,3885
Control;C2;C2B4;female;-0,1392
Control;C2;C2D5;female;0,5643
Control;C2;C2C5;female;0,2126
Control;C2;C2B5;female;-0,4909
Control;C2;C2A5;female;-0,6668
Control;C2;C2D6;female;0,0367
Control;C2;C2C6;female;-0,4909
Control;C2;C2B6;female;1,092
Control;C2;C2A6;female;-1,0185
Control;C3;C3D1;female;-0,4909
Control;C3;C3C1;female;0,7402
Control;C3;C3B1;female;-0,4909
Control;C3;C3A1;female;-0,1392
Control;C3;C3D2;female;-1,1944
Control;C3;C3C2;female;0,5643
Control;C3;C3B2;female;0,2126
Control;C3;C3A2;female;-1,1944
Control;C3;C3D3;female;0,2126
Control;C3;C3C3;female;-0,4909
Control;C3;C3B3;female;-0,315
Control;C3;C3A3;female;-1,0185
Control;C3;C3D4;female;-0,1392
Control;C3;C3C4;female;-0,315
Control;C3;C3B4;female;0,5643
Control;C3;C3A4;female;-0,4909
Control;C3;C3D5;female;-1,5462
Control;C3;C3C5;female;0,7402
Control;C3;C3B5;female;0,0367
Control;C3;C3A5;female;-0,1392
Control;C3;C3D6;female;1,6196
Control;C3;C3B6;female;1,092
Control;C3;C3A6;female;-1,1944
Control;C4;C4D1;female;0,3885
Control;C4;C4C1;female;0,3885
Control;C4;C4B1;female;-0,8427
Control;C4;C4A1;female;0,9161
Control;C4;C4D2;female;1,6196
Control;C4;C4C2;female;-1,1944
Control;C4;C4B2;female;0,7402
Control;C4;C4A2;female;-0,6668
Control;C4;C4D3;female;0,2126
Control;C4;C4C3;female;0,9161
Control;C4;C4B3;female;0,5643
Control;C4;C4A3;female;-0,1392
Control;C4;C4D4;female;2,6748
Control;C4;C4C4;female;1,9713
Control;C4;C4B4;female;0,5643
Control;C4;C4A4;female;0,2126
Control;C4;C4D5;female;0,0367
Control;C4;C4C5;female;-0,1392
Control;C4;C4B5;female;-0,4909
Control;C4;C4A5;female;0,5643
Control;C4;C4D6;female;-0,1392
Control;C4;C4C6;female;-0,1392
Control;C4;C4B6;female;-0,1392
Control;C4;C4A6;female;-0,6668
Male;M1;M1D1;male;-0,7022
Male;M1;M1C1;male;-1,4864
Male;M1;M1B1;male;-1,225
Male;M1;M1A1;male;-1,4864
Male;M1;M1D2;male;-1,4864
Male;M1;M1C2;male;0,4123
Male;M1;M1B2;male;1,1277
Male;M1;M1A2;male;0,1169
Male;M1;M1D3;male;-1,4864
Male;M1;M1C3;male;-1,2459
Male;M1;M1B3;male;0,0821
Male;M1;M1A3;male;-0,7348
Male;M1;M1D4;male;1,0452
Male;M1;M1B4;male;1,678
Male;M1;M1D5;male;1,144
Male;M1;M1C5;male;-1,4864
Male;M1;M1B5;male;-0,3591
Male;M1;M1A5;male;-0,198
Male;M1;M1D6;male;0,7683
Male;M1;M1C6;male;0,0167
Male;M1;M1B6;male;0,6609
Male;M1;M1A6;male;-0,5371
Male;M2;M2D1;male;-0,198
Male;M2;M2C1;male;-0,3932
Male;M2;M2B1;male;0,4123
Male;M2;M2A1;male;0,2314
Male;M2;M2D2;male;-0,5244
Male;M2;M2C2;male;1,2886
Male;M2;M2B2;male;-0,8851
Male;M2;M2A2;male;0,8261
Male;M2;M2D3;male;0,7287
Male;M2;M2C3;male;0,3636
Male;M2;M2B3;male;-0,2206
Male;M2;M2A3;male;2,2714
Male;M2;M2D4;male;0,5178
Male;M2;M2C4;male;1,2886
Male;M2;M2B4;male;1,4499
Male;M2;M2A4;male;-0,3302
Male;M2;M2C5;male;-1,4864
Male;M2;M2B5;male;0,3173
Male;M2;M2A5;male;-0,0717
Male;M2;M2D6;male;-0,1287
Male;M2;M2C6;male;-0,8183
Male;M2;M2B6;male;-0,2839
Male;M2;M2A6;male;0,5178
Male;M3;M3D1;male;-0,2839
Male;M3;M3C1;male;0,5178
Male;M3;M3B1;male;-0,2338
Male;M3;M3A1;male;0,4462
Male;M3;M3D2;male;-0,0717
Male;M3;M3C2;male;-1,4864
Male;M3;M3B2;male;0,0167
Male;M3;M3A2;male;-0,1503
Male;M3;M3D3;male;-1,4864
Male;M3;M3C3;male;0,6356
Male;M3;M3B3;male;1,0188
Male;M3;M3A3;male;-0,5614
Male;M3;M3D4;male;0,3636
Male;M3;M3C4;male;0,6999
Male;M3;M3B4;male;-0,0549
Male;M3;M3A4;male;0,6049
Male;M3;M3D5;male;-0,8183
Male;M3;M3C5;male;-1,0239
Male;M3;M3B5;male;-1,4864
Male;M3;M3A5;male;0,5178
Male;M3;M3D6;male;0,5178
Male;M3;M3C6;male;1,5198
Male;M3;M3B6;male;0,8261
Male;M3;M3A6;male;2,1211
Male;M4;M4D1;male;0,9893
Male;M4;M4C1;male;1,2465
Male;M4;M4B1;male;2,2714
Male;M4;M4A1;male;-0,3591
Male;M4;M4D2;male;0,7404
Male;M4;M4C2;male;-0,4843
Male;M4;M4B2;male;-0,1712
Male;M4;M4A2;male;-0,3412
Male;M4;M4D3;male;-1,4864
Male;M4;M4C3;male;2,3397
Male;M4;M4B3;male;-0,3591
Male;M4;M4A3;male;0,4267
Male;M4;M4D4;male;-1,4864
Male;M4;M4C4;male;1,3616
Male;M4;M4B4;male;0,2951
Male;M4;M4A4;male;-0,7348
Male;M4;M4D5;male;-1,2001
Male;M4;M4C5;male;0,7683
Male;M4;M4A5;male;-0,2839
Male;M4;M4D6;male;-0,8851
Male;M4;M4C6;male;-1,4864
Male;M4;M4B6;male;1,3319
Female;F1;F1B1;male;-0,5614
Female;F1;F1D2;male;-0,7348
Female;F1;F1B2;male;0,7683
Female;F1;F1A2;male;-1,4864
Female;F1;F1D3;male;-0,5469
Female;F1;F1C3;male;0,5178
Female;F1;F1B3;male;-0,0717
Female;F1;F1A3;male;-0,9854
Female;F1;F1C4;male;-0,3591
Female;F1;F1B4;male;-1,4864
Female;F1;F1A4;male;-1,4864
Female;F1;F1D5;male;-0,2839
Female;F1;F1C5;male;1,5198
Female;F1;F1B5;male;1,1591
Female;F1;F1A5;male;-1,4864
Female;F1;F1D6;male;1,5198
Female;F1;F1C6;male;1,5198
Female;F1;F1B6;male;-0,4843
Female;F1;F1A6;male;-0,5845
Female;F2;F2D1;male;-1,4864
Female;F2;F2C1;male;-1,4864
Female;F2;F2B1;male;-0,9398
Female;F2;F2A1;male;0,7683
Female;F2;F2D2;male;-0,2839
Female;F2;F2C2;male;-1,4864
Female;F2;F2B2;male;-1,4864
Female;F2;F2A2;male;-0,7022
Female;F2;F2D3;male;-0,779
Female;F2;F2C3;male;-1,4864
Female;F2;F2B3;male;-0,9398
Female;F2;F2A3;male;0,8518
Female;F2;F2D4;male;-0,4843
Female;F2;F2C4;male;1,1858
Female;F2;F2B4;male;-0,6275
Female;F2;F2A4;male;-0,8535
Female;F2;F2D5;male;-1,4864
Female;F2;F2C5;male;0,1534
Female;F2;F2B5;male;0,1971
Female;F2;F2A5;male;-0,6275
Female;F2;F2D6;male;-1,1699
Female;F2;F2C6;male;0,8756
Female;F2;F2B6;male;-0,1199
Female;F3;F3D1;male;-0,2839
Female;F3;F3C1;male;0,7287
Female;F3;F3B1;male;0,3173
Female;F3;F3A1;male;-0,8183
Female;F3;F3D2;male;0,0167
Female;F3;F3C2;male;-1,4864
Female;F3;F3B2;male;0,7683
Female;F3;F3A2;male;-0,7348
Female;F3;F3D3;male;1,7931
Female;F3;F3C3;male;0,3173
Female;F3;F3B3;male;-0,0434
Female;F3;F3A3;male;-1,4864
Female;F3;F3D4;male;-1,1614
Female;F3;F3C4;male;0,0167
Female;F3;F3B4;male;-0,5845
Female;F3;F3A4;male;0,0167
Female;F3;F3D5;male;-0,198
Female;F3;F3C5;male;-1,0569
Female;F3;F3B5;male;-1,4864
Female;F3;F3A5;male;0,5178
Female;F3;F3D6;male;1,5198
Female;F3;F3B6;male;1,5198
Female;F3;F3A6;male;0,3925
Female;F4;F4C1;male;-1,4864
Female;F4;F4B1;male;-0,198
Female;F4;F4A1;male;-0,0434
Female;F4;F4D2;male;-0,198
Female;F4;F4B2;male;-0,2839
Female;F4;F4A2;male;0,2314
Female;F4;F4D3;male;-0,2839
Female;F4;F4C3;male;-1,225
Female;F4;F4B3;male;-0,8851
Female;F4;F4A3;male;1,0188
Female;F4;F4D4;male;-1,4864
Female;F4;F4C4;male;-1,1858
Female;F4;F4B4;male;-0,5371
Female;F4;F4A4;male;-0,5845
Female;F4;F4D5;male;-1,4864
Female;F4;F4B5;male;-0,7926
Female;F4;F4D6;male;0,0167
Female;F4;F4C6;male;0,2314
Female;F4;F4B6;male;3,524
Female;F4;F4A6;male;-0,6275
Control;C1;C1D1;male;2,2714
Control;C1;C1C1;male;0,2314
Control;C1;C1B1;male;0,6781
Control;C1;C1A1;male;1,7202
Control;C1;C1C2;male;-0,4843
Control;C1;C1B2;male;-0,5845
Control;C1;C1D3;male;-0,8851
Control;C1;C1C3;male;-0,9138
Control;C1;C1B3;male;1,1858
Control;C1;C1A3;male;0,2314
Control;C1;C1D4;male;0,1722
Control;C1;C1B4;male;-0,6275
Control;C1;C1A4;male;0,3173
Control;C1;C1D5;male;-1,4864
Control;C1;C1C5;male;-0,0717
Control;C1;C1B5;male;-1,4864
Control;C1;C1A5;male;-0,9854
Control;C1;C1D6;male;-0,4843
Control;C1;C1C6;male;-1,4864
Control;C1;C1B6;male;-1,4864
Control;C1;C1A6;male;0,8261
Control;C2;C2D1;male;-0,4254
Control;C2;C2C1;male;-0,2839
Control;C2;C2B1;male;-0,2206
Control;C2;C2A1;male;0,5178
Control;C2;C2D2;male;0,1534
Control;C2;C2C2;male;2,1211
Control;C2;C2B2;male;-0,779
Control;C2;C2A2;male;-0,8183
Control;C2;C2D3;male;-1,4864
Control;C2;C2C3;male;-0,7348
Control;C2;C2B3;male;-0,0717
Control;C2;C2A3;male;0,0167
Control;C2;C2D4;male;1,1591
Control;C2;C2C4;male;-0,3412
Control;C2;C2B4;male;-1,4864
Control;C2;C2D5;male;0,9732
Control;C2;C2C5;male;-0,9854
Control;C2;C2B5;male;1,3194
Control;C2;C2A5;male;0,2314
Control;C2;C2D6;male;1,7931
Control;C2;C2C6;male;0,1534
Control;C2;C2B6;male;-0,0989
Control;C2;C2A6;male;0,8663
Control;C3;C3D1;male;-1,2131
Control;C3;C3C1;male;0,9186
Control;C3;C3B1;male;-0,6275
Control;C3;C3A1;male;-0,6275
Control;C3;C3D2;male;-0,6847
Control;C3;C3C2;male;0,2592
Control;C3;C3B2;male;1,9493
Control;C3;C3A2;male;0,9186
Control;C3;C3D3;male;-0,5845
Control;C3;C3C3;male;0,6609
Control;C3;C3B3;male;-0,8851
Control;C3;C3A3;male;1,5198
Control;C3;C3D4;male;0,2672
Control;C3;C3C4;male;0,0553
Control;C3;C3B4;male;1,2693
Control;C3;C3A4;male;2,5219
Control;C3;C3D5;male;-1,4864
Control;C3;C3C5;male;0,6049
Control;C3;C3B5;male;1,8538
Control;C3;C3A5;male;-0,2424
Control;C3;C3D6;male;-0,7649
Control;C3;C3B6;male;-0,8183
Control;C3;C3A6;male;0,282
Control;C4;C4D1;male;-1,4864
Control;C4;C4C1;male;1,0904
Control;C4;C4B1;male;-0,8535
Control;C4;C4A1;male;-0,4498
Control;C4;C4D2;male;0,9186
Control;C4;C4C2;male;0,0167
Control;C4;C4B2;male;-0,211
Control;C4;C4A2;male;-1,4864
Control;C4;C4D3;male;-1,0054
Control;C4;C4C3;male;-0,6275
Control;C4;C4B3;male;-0,2206
Control;C4;C4A3;male;-0,8851
Control;C4;C4D4;male;-1,4864
Control;C4;C4C4;male;0,5869
Control;C4;C4B4;male;0,5178
Control;C4;C4A4;male;1,3996
Control;C4;C4D5;male;-0,3591
Control;C4;C4C5;male;-0,8183
Control;C4;C4B5;male;-0,4843
Control;C4;C4A5;male;-0,0989
Control;C4;C4D6;male;0,5178
Control;C4;C4C6;male;0,5178
Control;C4;C4B6;male;1,5198
Control;C4;C4A6;male;0,0167
