day,prop_emerged,overall_eclosed,population,generation
10,0.531109708,114,CA,29
10.5,0.592692801,114,CA,29
11,0.755065536,114,CA,29
11.5,0.942755932,114,CA,29
12,0.997244268,114,CA,29
13,1,114,CA,29
10,0.47694705,126,CB,29
10.5,0.537112193,126,CB,29
11,0.75000501,126,CB,29
11.5,0.89781746,126,CB,29
12,0.986376663,126,CB,29
13,1,126,CB,29
10,0.270813292,126,EA,29
10.5,0.393929373,107,EA,29
11,0.749684343,107,EA,29
11.5,0.916992344,107,EA,29
12,0.973965849,107,EA,29
13,1,107,EA,29
10,0.198162177,103,EB,29
10.5,0.348840588,103,EB,29
11,0.601846841,103,EB,29
11.5,0.770447531,103,EB,29
12,0.974772527,103,EB,29
13,1,103,EB,29
10,0.381087148,141,CA,30
10.5,0.56400769,141,CA,30
11,0.775170236,141,CA,30
11.5,0.913555517,141,CA,30
12.5,0.988958821,141,CA,30
13.5,1,141,CA,30
10,0.406128499,148,CB,30
10.5,0.580827229,148,CB,30
11,0.725066054,148,CB,30
11.5,0.885522952,148,CB,30
12.5,0.962236591,148,CB,30
13.5,1,148,CB,30
10,0.216844242,143,EA,30
10.5,0.399700342,143,EA,30
11,0.684445686,143,EA,30
11.5,0.864874444,143,EA,30
12.5,0.962172148,143,EA,30
13.5,1,143,EA,30
10,0.26009602,153,EB,30
10.5,0.42347969,153,EB,30
11,0.616039783,153,EB,30
11.5,0.760729706,153,EB,30
12.5,0.868746375,153,EB,30
13.5,1,153,EB,30